"","Titulo","Tipo","Estado","Cantidad_episodio","Visitas"
"1","Amaama to Inazuma","TV","Finalizado","12","688"
"2","Gintama: The Final","Pelicula","Finalizado","1","7542"
"3","Cider no You ni Kotoba ga Wakiagaru","Pelicula","Finalizado","1","17923"
"4","Shomin Sample","TV","Finalizado","12","6289"
"5","Shin Tennis no Ouji-sama: Hyoutei vs. Rikkai - Game of Future","OVA","Finalizado","2","7046"
"6","Nobunaga-sensei no Osanazuma","TV","Finalizado","12","7031"
"7","Meikyuu Black Company","TV","Emision","3","54261"
"8","Coppelion","TV","Finalizado","13","3470"
"9","Night Head 2041","TV","Emision","3","22690"
"10","D_Cide Traumerei The Animation","TV","Emision","3","43601"
"11","Getter Robo Arc","TV","Emision","4","22058"
"12","Kaizoku Oujo","TV","Emision","0","25125"
"13","Magia Record: Mahou Shoujo Madoka<U+2605>Magica Gaiden 2nd Season - Kakusei Zenya","TV","Emision","0","14905"
"14","Jahy-sama wa Kujikenai!","TV","Emision","0","52145"
"15","100-man no Inochi no Ue ni Ore wa Tatte Iru 2nd Season","TV","Emision","3","48202"
"16","Heion Sedai no Idaten-tachi","TV","Emision","3","84725"
"17","Megami-ryou no Ryoubo-kun","TV","Emision","3","89405"
"18","Deatte 5-byou de Battle","TV","Emision","3","46092"
"19","Love Live! Superstar!!","TV","Emision","2","22786"
"20","Shiroi Suna no Aquatope","TV","Emision","4","31093"
"21","Tsuki ga Michibiku Isekai Douchuu","TV","Emision","4","81872"
"22","Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore","TV","Emision","4","33546"
"23","Uramichi Oniisan","TV","Emision","4","27253"
"24","Kageki Shoujo!!","TV","Emision","4","49068"
"25","Kobayashi-san Chi no Maid Dragon S","TV","Emision","4","99848"
"26","Tensei Shitara Slime Datta Ken 2nd Season Part 2","TV","Emision","5","207571"
"27","Seirei Gensouki","TV","Emision","4","157409"
"28","Shinigami Bocchan to Kuro Maid","TV","Emision","4","58999"
"29","Tantei wa Mou, Shindeiru.","TV","Emision","4","97675"
"30","RE-MAIN","TV","Emision","3","22914"
"31","Genjitsu Shugi Yuusha no Oukoku Saikenki","TV","Emision","4","107629"
"32","Mahouka Koukou no Yuutousei","TV","Emision","4","52379"
"33","Bokutachi no Remake","TV","Emision","4","53945"
"34","Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shite Shimatta… X","TV","Emision","4","123270"
"35","Kanojo mo Kanojo","TV","Emision","4","122917"
"36","Vanitas no Carte","TV","Emision","4","40852"
"37","Higurashi no Naku Koro ni - Sotsu","TV","Emision","6","51533"
"38","Peach Boy Riverside","TV","Emision","5","84050"
